Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Description,Cluster,Category,Population,In Need,Targeted,Affected,Reached,Info
,,SD09046,Rabak,Site Management,CCM,Female,,37714,13676,,,
,,SD09046,Rabak,Site Management,CCM,IDP,,63654,25803,,,
,,SD09046,Rabak,Site Management,CCM,Male,,34147,12127,,,
,,SD09046,Rabak,Site Management,CCM,People with disability,,11999,3870,,,
,,SD09046,Rabak,Site Management,CCM,total,,63654,25803,,,
,,SD09046,Rabak,Education,EDU,Children,,93223,34913,,,
,,SD09046,Rabak,Education,EDU,Female,,47543,17805,,,
,,SD09046,Rabak,Education,EDU,Host Communities,,26983,10557,,,
,,SD09046,Rabak,Education,EDU,IDP,,25480,11902,,,
,,SD09046,Rabak,Education,EDU,Male,,45679,17107,,,
,,SD09046,Rabak,Education,EDU,Non-hosting population,,41356,12454,,,
,,SD09046,Rabak,Education,EDU,total,,93819,34913,,,
,,SD09046,Rabak,Food Security and Livelihoods,FSC,Adult,,129978,219284,,,
,,SD09046,Rabak,Food Security and Livelihoods,FSC,Children,,147702,4616,,,
,,SD09046,Rabak,Food Security and Livelihoods,FSC,Elderly,,17724,6925,,,
,,SD09046,Rabak,Food Security and Livelihoods,FSC,Female,,147702,126261,,,
,,SD09046,Rabak,Food Security and Livelihoods,FSC,Host Communities,,109793,106764,,,
,,SD09046,Rabak,Food Security and Livelihoods,FSC,IDP,,100387,85486,,,
,,SD09046,Rabak,Food Security and Livelihoods,FSC,Male,,147702,104564,,,
,,SD09046,Rabak,Food Security and Livelihoods,FSC,Non-hosting population,,97936,38575,,,
,,SD09046,Rabak,Food Security and Livelihoods,FSC,People with disability,,44311,5771,,,
,,SD09046,Rabak,Food Security and Livelihoods,FSC,total,,308116,230825,,,
,,SD09046,Rabak,Health,HEA,Adult,,86591,56823,,,
,,SD09046,Rabak,Health,HEA,Children,,114784,67453,,,
,,SD09046,Rabak,Health,HEA,Elderly,,9982,6955,,,
,,SD09046,Rabak,Health,HEA,Female,,110541,66928,,,
,,SD09046,Rabak,Health,HEA,Host Communities,,92992,54349,,,
,,SD09046,Rabak,Health,HEA,IDP,,99024,57306,,,
,,SD09046,Rabak,Health,HEA,Male,,100816,64303,,,
,,SD09046,Rabak,Health,HEA,Non-hosting population,,66714,19577,,,
,,SD09046,Rabak,Health,HEA,People with disability,,54380,19685,,,
,,SD09046,Rabak,Health,HEA,total,,258731,131231,,,
,,SD09046,Rabak,Multi-Purpose Cash,MPC,Adult,,,9973,,,
,,SD09046,Rabak,Multi-Purpose Cash,MPC,Children,,,11839,,,
,,SD09046,Rabak,Multi-Purpose Cash,MPC,Elderly,,,1221,,,
,,SD09046,Rabak,Multi-Purpose Cash,MPC,Female,,,11586,,,
,,SD09046,Rabak,Multi-Purpose Cash,MPC,Host Communities,,,7319,,,
,,SD09046,Rabak,Multi-Purpose Cash,MPC,IDP,,,10293,,,
,,SD09046,Rabak,Multi-Purpose Cash,MPC,Male,,,11447,,,
,,SD09046,Rabak,Multi-Purpose Cash,MPC,Non-hosting population,,,5421,,,
,,SD09046,Rabak,Multi-Purpose Cash,MPC,People with disability,,,3455,,,
,,SD09046,Rabak,Multi-Purpose Cash,MPC,total,,,23033,,,
,,SD09046,Rabak,Nutrition,NUT,Adult,,4309,3606,,,
,,SD09046,Rabak,Nutrition,NUT,Children,,26147,23121,,,
,,SD09046,Rabak,Nutrition,NUT,Female,,17644,15398,,,
,,SD09046,Rabak,Nutrition,NUT,Host Communities,,12482,7793,,,
,,SD09046,Rabak,Nutrition,NUT,IDP,,12693,8245,,,
,,SD09046,Rabak,Nutrition,NUT,Male,,12812,11330,,,
,,SD09046,Rabak,Nutrition,NUT,Non-hosting population,,17406,10682,,,
,,SD09046,Rabak,Nutrition,NUT,total,,42581,26720,,,
,,SD09046,Rabak,General Protection,PRO,Adult,,75124,21410,,,
,,SD09046,Rabak,General Protection,PRO,Children,,72696,20717,,,
,,SD09046,Rabak,General Protection,PRO,Elderly,,8207,2339,,,
,,SD09046,Rabak,General Protection,PRO,Female,,78500,22372,,,
,,SD09046,Rabak,General Protection,PRO,Host Communities,,23036,6656,,,
,,SD09046,Rabak,General Protection,PRO,IDP,,80555,28701,,,
,,SD09046,Rabak,General Protection,PRO,Male,,77527,22094,,,
,,SD09046,Rabak,General Protection,PRO,Non-hosting population,,36850,9109,,,
,,SD09046,Rabak,General Protection,PRO,People with disability,,23404,6669,,,
,,SD09046,Rabak,General Protection,PRO,total,,140441,44466,,,
,,SD09046,Rabak,Child Protection,PRO-CPN,Adult,,13662,2191,,,
,,SD09046,Rabak,Child Protection,PRO-CPN,Children,,127999,34302,,,
,,SD09046,Rabak,Child Protection,PRO-CPN,Female,,71272,18613,,,
,,SD09046,Rabak,Child Protection,PRO-CPN,Host Communities,,30437,2600,,,
,,SD09046,Rabak,Child Protection,PRO-CPN,IDP,,76119,33373,,,
,,SD09046,Rabak,Child Protection,PRO-CPN,Male,,70389,17880,,,
,,SD09046,Rabak,Child Protection,PRO-CPN,Non-hosting population,,25637,520,,,
,,SD09046,Rabak,Child Protection,PRO-CPN,People with disability,,21250,5473,,,
,,SD09046,Rabak,Child Protection,PRO-CPN,total,,132193,36493,,,
,,SD09046,Rabak,Gender-Based Violence (GBV),PRO-GBV,Adult,,86077,21425,,,
,,SD09046,Rabak,Gender-Based Violence (GBV),PRO-GBV,Children,,86078,21425,,,
,,SD09046,Rabak,Gender-Based Violence (GBV),PRO-GBV,Elderly,,3514,874,,,
,,SD09046,Rabak,Gender-Based Violence (GBV),PRO-GBV,Female,,158103,39352,,,
,,SD09046,Rabak,Gender-Based Violence (GBV),PRO-GBV,Host Communities,,50091,5221,,,
,,SD09046,Rabak,Gender-Based Violence (GBV),PRO-GBV,IDP,,95474,35955,,,
,,SD09046,Rabak,Gender-Based Violence (GBV),PRO-GBV,Male,,17566,4372,,,
,,SD09046,Rabak,Gender-Based Violence (GBV),PRO-GBV,Non-hosting population,,19814,1693,,,
,,SD09046,Rabak,Gender-Based Violence (GBV),PRO-GBV,People with disability,,26351,4373,,,
,,SD09046,Rabak,Gender-Based Violence (GBV),PRO-GBV,total,,165378,42869,,,
,,SD09046,Rabak,Mine Action,PRO-MIN,Adult,,73604,17552,,,
,,SD09046,Rabak,Mine Action,PRO-MIN,Children,,92874,19558,,,
,,SD09046,Rabak,Mine Action,PRO-MIN,Elderly,,7470,2281,,,
,,SD09046,Rabak,Mine Action,PRO-MIN,Female,,93153,19655,,,
,,SD09046,Rabak,Mine Action,PRO-MIN,Host Communities,,35052,12647,,,
,,SD09046,Rabak,Mine Action,PRO-MIN,IDP,,94506,18977,,,
,,SD09046,Rabak,Mine Action,PRO-MIN,Male,,80795,19738,,,
,,SD09046,Rabak,Mine Action,PRO-MIN,Non-hosting population,,33910,7768,,,
,,SD09046,Rabak,Mine Action,PRO-MIN,People with disability,,,5896,,,
,,SD09046,Rabak,Mine Action,PRO-MIN,total,,163468,39392,,,
,,SD09046,Rabak,Emergency Shelter and Non-Food Items,SHL,Adult,,96990,12140,,,
,,SD09046,Rabak,Emergency Shelter and Non-Food Items,SHL,Children,,128569,16461,,,
,,SD09046,Rabak,Emergency Shelter and Non-Food Items,SHL,Elderly,,11181,1824,,,
,,SD09046,Rabak,Emergency Shelter and Non-Food Items,SHL,Female,,123816,15912,,,
,,SD09046,Rabak,Emergency Shelter and Non-Food Items,SHL,Host Communities,,69044,4983,,,
,,SD09046,Rabak,Emergency Shelter and Non-Food Items,SHL,IDP,,73083,24949,,,
,,SD09046,Rabak,Emergency Shelter and Non-Food Items,SHL,Male,,112924,14513,,,
,,SD09046,Rabak,Emergency Shelter and Non-Food Items,SHL,Non-hosting population,,22046,493,,,
,,SD09046,Rabak,Emergency Shelter and Non-Food Items,SHL,People with disability,,35511,4563,,,
,,SD09046,Rabak,Emergency Shelter and Non-Food Items,SHL,total,,164173,30425,,,
,,SD09046,Rabak,"Water, Sanitation and Hygiene",WSH,Adult,,102873,58434,,,
,,SD09046,Rabak,"Water, Sanitation and Hygiene",WSH,Children,,166821,94757,,,
,,SD09046,Rabak,"Water, Sanitation and Hygiene",WSH,Elderly,,8341,4738,,,
,,SD09046,Rabak,"Water, Sanitation and Hygiene",WSH,Female,,141798,80544,,,
,,SD09046,Rabak,"Water, Sanitation and Hygiene",WSH,Host Communities,,113242,59150,,,
,,SD09046,Rabak,"Water, Sanitation and Hygiene",WSH,IDP,,104071,58270,,,
,,SD09046,Rabak,"Water, Sanitation and Hygiene",WSH,Male,,136237,77385,,,
,,SD09046,Rabak,"Water, Sanitation and Hygiene",WSH,Non-hosting population,,97824,40508,,,
,,SD09046,Rabak,"Water, Sanitation and Hygiene",WSH,People with disability,,33364,18951,,,
,,SD09046,Rabak,"Water, Sanitation and Hygiene",WSH,total,,315137,157929,,,
,,SD09047,Kosti,Final caseload,ALL,Adult,229735,187769,158977,,,
,,SD09047,Kosti,Final caseload,ALL,Children,272711,222894,188716,,,
,,SD09047,Kosti,Final caseload,ALL,Elderly,28120,22983,19459,,,
,,SD09047,Kosti,Final caseload,ALL,Female,266875,218124,184677,,,
,,SD09047,Kosti,Final caseload,ALL,Host Communities,186922,899,145074,,,
,,SD09047,Kosti,Final caseload,ALL,IDP,154048,831,108806,,,
,,SD09047,Kosti,Final caseload,ALL,Male,263691,215522,182474,,,
,,SD09047,Kosti,Final caseload,ALL,Non-hosting population,156722,16046,38951,,,
,,SD09047,Kosti,Final caseload,ALL,People with disability,79585,65047,55073,,,
,,SD09047,Kosti,Final caseload,ALL,Refugees,58235,58235,74321,,,
,,SD09047,Kosti,Final caseload,ALL,total,530566,433646,367152,,,
,,SD09047,Kosti,Site Management,CCM,Adult,,31318,10991,,,
,,SD09047,Kosti,Site Management,CCM,Children,,43792,15500,,,
,,SD09047,Kosti,Site Management,CCM,Elderly,,4882,1691,,,
,,SD09047,Kosti,Site Management,CCM,Female,,41981,14936,,,
,,SD09047,Kosti,Site Management,CCM,IDP,,69523,28182,,,
,,SD09047,Kosti,Site Management,CCM,Male,,38011,13246,,,
,,SD09047,Kosti,Site Management,CCM,People with disability,,1453,4227,,,
,,SD09047,Kosti,Site Management,CCM,total,,69523,28182,,,
,,SD09047,Kosti,Education,EDU,Children,,90903,35365,,,
,,SD09047,Kosti,Education,EDU,Female,,46361,18036,,,
,,SD09047,Kosti,Education,EDU,Host Communities,,35760,13991,,,
,,SD09047,Kosti,Education,EDU,IDP,,27829,12999,,,
,,SD09047,Kosti,Education,EDU,Male,,44542,17329,,,
,,SD09047,Kosti,Education,EDU,Non-hosting population,,27812,8375,,,
,,SD09047,Kosti,Education,EDU,total,,91401,35365,,,
,,SD09047,Kosti,Food Security and Livelihoods,FSC,Adult,,130782,247759,,,
,,SD09047,Kosti,Food Security and Livelihoods,FSC,Children,,148615,5216,,,
,,SD09047,Kosti,Food Security and Livelihoods,FSC,Elderly,,17834,7824,,,
,,SD09047,Kosti,Food Security and Livelihoods,FSC,Female,,148615,142657,,,
,,SD09047,Kosti,Food Security and Livelihoods,FSC,Host Communities,,145504,141490,,,
,,SD09047,Kosti,Food Security and Livelihoods,FSC,IDP,,109642,93367,,,
,,SD09047,Kosti,Food Security and Livelihoods,FSC,Male,,148615,118142,,,
,,SD09047,Kosti,Food Security and Livelihoods,FSC,Non-hosting population,,65863,25942,,,
,,SD09047,Kosti,Food Security and Livelihoods,FSC,People with disability,,44585,6520,,,
,,SD09047,Kosti,Food Security and Livelihoods,FSC,total,,321009,260799,,,
,,SD09047,Kosti,Health,HEA,Adult,,97169,63989,,,
,,SD09047,Kosti,Health,HEA,Children,,130817,75959,,,
,,SD09047,Kosti,Health,HEA,Elderly,,11380,7832,,,
,,SD09047,Kosti,Health,HEA,Female,,126085,75368,,,
,,SD09047,Kosti,Health,HEA,Host Communities,,123239,72027,,,
,,SD09047,Kosti,Health,HEA,IDP,,108154,62589,,,
,,SD09047,Kosti,Health,HEA,Male,,113281,72413,,,
,,SD09047,Kosti,Health,HEA,Non-hosting population,,44866,13166,,,
,,SD09047,Kosti,Health,HEA,People with disability,,37876,22167,,,
,,SD09047,Kosti,Health,HEA,total,,276259,147781,,,
,,SD09047,Kosti,Multi-Purpose Cash,MPC,Adult,,,10646,,,
,,SD09047,Kosti,Multi-Purpose Cash,MPC,Children,,,12638,,,
,,SD09047,Kosti,Multi-Purpose Cash,MPC,Elderly,,,1303,,,
,,SD09047,Kosti,Multi-Purpose Cash,MPC,Female,,,12367,,,
,,SD09047,Kosti,Multi-Purpose Cash,MPC,Host Communities,,,9700,,,
,,SD09047,Kosti,Multi-Purpose Cash,MPC,IDP,,,11242,,,
,,SD09047,Kosti,Multi-Purpose Cash,MPC,Male,,,12220,,,
,,SD09047,Kosti,Multi-Purpose Cash,MPC,Non-hosting population,,,3645,,,
,,SD09047,Kosti,Multi-Purpose Cash,MPC,People with disability,,,3688,,,
,,SD09047,Kosti,Multi-Purpose Cash,MPC,total,,,24587,,,
,,SD09047,Kosti,Refugee Response,MS,Adult,,35674,35674,,,
,,SD09047,Kosti,Refugee Response,MS,Children,,34187,34187,,,
,,SD09047,Kosti,Refugee Response,MS,Elderly,,4459,4459,,,
,,SD09047,Kosti,Refugee Response,MS,Female,,37903,37903,,,
,,SD09047,Kosti,Refugee Response,MS,Male,,36417,36417,,,
,,SD09047,Kosti,Refugee Response,MS,People with disability,,11148,11148,,,
,,SD09047,Kosti,Refugee Response,MS,total,,74321,74321,,,
,,SD09047,Kosti,Nutrition,NUT,Adult,,6263,3505,,,
,,SD09047,Kosti,Nutrition,NUT,Children,,20847,23017,,,
,,SD09047,Kosti,Nutrition,NUT,Female,,16895,15243,,,
,,SD09047,Kosti,Nutrition,NUT,Host Communities,,16541,10328,,,
,,SD09047,Kosti,Nutrition,NUT,IDP,,13863,9005,,,
,,SD09047,Kosti,Nutrition,NUT,Male,,10215,11278,,,
,,SD09047,Kosti,Nutrition,NUT,Non-hosting population,,11706,7183,,,
,,SD09047,Kosti,Nutrition,NUT,total,,42110,26517,,,
,,SD09047,Kosti,General Protection,PRO,Adult,,77600,22290,,,
,,SD09047,Kosti,General Protection,PRO,Children,,75092,21569,,,
,,SD09047,Kosti,General Protection,PRO,Elderly,,8478,2435,,,
,,SD09047,Kosti,General Protection,PRO,Female,,81087,23291,,,
,,SD09047,Kosti,General Protection,PRO,Host Communities,,30528,8821,,,
,,SD09047,Kosti,General Protection,PRO,IDP,,87981,31347,,,
,,SD09047,Kosti,General Protection,PRO,Male,,80083,23003,,,
,,SD09047,Kosti,General Protection,PRO,Non-hosting population,,24782,6126,,,
,,SD09047,Kosti,General Protection,PRO,People with disability,,24176,6944,,,
,,SD09047,Kosti,General Protection,PRO,total,,143291,46294,,,
,,SD09047,Kosti,Child Protection,PRO-CPN,Adult,,10625,354,,,
,,SD09047,Kosti,Child Protection,PRO-CPN,Children,,124201,5526,,,
,,SD09047,Kosti,Child Protection,PRO-CPN,Female,,67833,3000,,,
,,SD09047,Kosti,Child Protection,PRO-CPN,Host Communities,,30253,2600,,,
,,SD09047,Kosti,Child Protection,PRO-CPN,IDP,,62352,2760,,,
,,SD09047,Kosti,Child Protection,PRO-CPN,Male,,66993,2880,,,
,,SD09047,Kosti,Child Protection,PRO-CPN,Non-hosting population,,12931,520,,,
,,SD09047,Kosti,Child Protection,PRO-CPN,People with disability,,20224,882,,,
,,SD09047,Kosti,Child Protection,PRO-CPN,total,,105536,5880,,,
,,SD09047,Kosti,Gender-Based Violence (GBV),PRO-GBV,Adult,,61186,5912,,,
,,SD09047,Kosti,Gender-Based Violence (GBV),PRO-GBV,Children,,61186,5912,,,
,,SD09047,Kosti,Gender-Based Violence (GBV),PRO-GBV,Elderly,,2498,241,,,
,,SD09047,Kosti,Gender-Based Violence (GBV),PRO-GBV,Female,,112383,10859,,,
,,SD09047,Kosti,Gender-Based Violence (GBV),PRO-GBV,Host Communities,,66383,6919,,,
,,SD09047,Kosti,Gender-Based Violence (GBV),PRO-GBV,IDP,,104275,39270,,,
,,SD09047,Kosti,Gender-Based Violence (GBV),PRO-GBV,Male,,12487,1206,,,
,,SD09047,Kosti,Gender-Based Violence (GBV),PRO-GBV,Non-hosting population,,13325,1139,,,
,,SD09047,Kosti,Gender-Based Violence (GBV),PRO-GBV,People with disability,,18731,1206,,,
,,SD09047,Kosti,Gender-Based Violence (GBV),PRO-GBV,total,,183984,47327,,,
,,SD09047,Kosti,Mine Action,PRO-MIN,Adult,,82179,19032,,,
,,SD09047,Kosti,Mine Action,PRO-MIN,Children,,104106,21206,,,
,,SD09047,Kosti,Mine Action,PRO-MIN,Elderly,,8077,2475,,,
,,SD09047,Kosti,Mine Action,PRO-MIN,Female,,104574,21311,,,
,,SD09047,Kosti,Mine Action,PRO-MIN,Host Communities,,46453,16760,,,
,,SD09047,Kosti,Mine Action,PRO-MIN,IDP,,103219,20727,,,
,,SD09047,Kosti,Mine Action,PRO-MIN,Male,,89788,21400,,,
,,SD09047,Kosti,Mine Action,PRO-MIN,Non-hosting population,,22804,5224,,,
,,SD09047,Kosti,Mine Action,PRO-MIN,People with disability,,,6392,,,
,,SD09047,Kosti,Mine Action,PRO-MIN,total,,172476,42711,,,
,,SD09047,Kosti,Emergency Shelter and Non-Food Items,SHL,Adult,,66820,13678,,,
,,SD09047,Kosti,Emergency Shelter and Non-Food Items,SHL,Children,,89959,18455,,,
,,SD09047,Kosti,Emergency Shelter and Non-Food Items,SHL,Elderly,,7825,2051,,,
,,SD09047,Kosti,Emergency Shelter and Non-Food Items,SHL,Female,,86705,18006,,,
,,SD09047,Kosti,Emergency Shelter and Non-Food Items,SHL,Host Communities,,91502,6603,,,
,,SD09047,Kosti,Emergency Shelter and Non-Food Items,SHL,IDP,,79820,27249,,,
,,SD09047,Kosti,Emergency Shelter and Non-Food Items,SHL,Male,,77900,16178,,,
,,SD09047,Kosti,Emergency Shelter and Non-Food Items,SHL,Non-hosting population,,14826,332,,,
,,SD09047,Kosti,Emergency Shelter and Non-Food Items,SHL,People with disability,,24691,5127,,,
,,SD09047,Kosti,Emergency Shelter and Non-Food Items,SHL,total,,186148,34184,,,
,,SD09047,Kosti,"Water, Sanitation and Hygiene",WSH,Adult,,85941,62631,,,
,,SD09047,Kosti,"Water, Sanitation and Hygiene",WSH,Children,,139363,101564,,,
,,SD09047,Kosti,"Water, Sanitation and Hygiene",WSH,Elderly,,6968,5078,,,
,,SD09047,Kosti,"Water, Sanitation and Hygiene",WSH,Female,,118459,86330,,,
,,SD09047,Kosti,"Water, Sanitation and Hygiene",WSH,Host Communities,,150076,78390,,,
,,SD09047,Kosti,"Water, Sanitation and Hygiene",WSH,IDP,,113666,63642,,,
,,SD09047,Kosti,"Water, Sanitation and Hygiene",WSH,Male,,113813,82944,,,
,,SD09047,Kosti,"Water, Sanitation and Hygiene",WSH,Non-hosting population,,65787,27242,,,
,,SD09047,Kosti,"Water, Sanitation and Hygiene",WSH,People with disability,,27873,20313,,,
,,SD09047,Kosti,"Water, Sanitation and Hygiene",WSH,total,,329528,169274,,,
,,SD09048,Tendalti,Final caseload,ALL,Adult,100259,54691,31426,,,
,,SD09048,Tendalti,Final caseload,ALL,Children,119015,64922,37305,,,
,,SD09048,Tendalti,Final caseload,ALL,Elderly,12272,6694,3847,,,
,,SD09048,Tendalti,Final caseload,ALL,Female,116468,63532,36507,,,
,,SD09048,Tendalti,Final caseload,ALL,Host Communities,15254,4081,11839,,,
,,SD09048,Tendalti,Final caseload,ALL,IDP,15252,3771,10773,,,
,,SD09048,Tendalti,Final caseload,ALL,Male,115078,62774,36071,,,
,,SD09048,Tendalti,Final caseload,ALL,Non-hosting population,201038,171818,49966,,,
,,SD09048,Tendalti,Final caseload,ALL,People with disability,34732,18946,10887,,,
,,SD09048,Tendalti,Final caseload,ALL,Refugees,2,2,1,,,
,,SD09048,Tendalti,Final caseload,ALL,total,231546,126307,72578,,,
,,SD09048,Tendalti,Site Management,CCM,Adult,,3793,1088,,,
,,SD09048,Tendalti,Site Management,CCM,Children,,5304,1535,,,
,,SD09048,Tendalti,Site Management,CCM,Elderly,,591,167,,,
,,SD09048,Tendalti,Site Management,CCM,Female,,5085,1479,,,
,,SD09048,Tendalti,Site Management,CCM,IDP,,6883,2790,,,
,,SD09048,Tendalti,Site Management,CCM,Male,,4604,1311,,,
,,SD09048,Tendalti,Site Management,CCM,People with disability,,4113,419,,,
,,SD09048,Tendalti,Site Management,CCM,total,,6883,2790,,,
,,SD09048,Tendalti,Education,EDU,Children,,42428,13172,,,
,,SD09048,Tendalti,Education,EDU,Female,,21638,6718,,,
,,SD09048,Tendalti,Education,EDU,Host Communities,,2918,1142,,,
,,SD09048,Tendalti,Education,EDU,IDP,,2755,1287,,,
,,SD09048,Tendalti,Education,EDU,Male,,20790,6454,,,
,,SD09048,Tendalti,Education,EDU,Non-hosting population,,35677,10743,,,
,,SD09048,Tendalti,Education,EDU,total,,41350,13172,,,
,,SD09048,Tendalti,Food Security and Livelihoods,FSC,Adult,,42226,51364,,,
,,SD09048,Tendalti,Food Security and Livelihoods,FSC,Children,,47984,1081,,,
,,SD09048,Tendalti,Food Security and Livelihoods,FSC,Elderly,,5758,1622,,,
,,SD09048,Tendalti,Food Security and Livelihoods,FSC,Female,,47984,29575,,,
,,SD09048,Tendalti,Food Security and Livelihoods,FSC,Host Communities,,11874,11546,,,
,,SD09048,Tendalti,Food Security and Livelihoods,FSC,IDP,,10855,9244,,,
,,SD09048,Tendalti,Food Security and Livelihoods,FSC,Male,,47984,24493,,,
,,SD09048,Tendalti,Food Security and Livelihoods,FSC,Non-hosting population,,84486,33277,,,
,,SD09048,Tendalti,Food Security and Livelihoods,FSC,People with disability,,14395,1352,,,
,,SD09048,Tendalti,Food Security and Livelihoods,FSC,total,,107216,54068,,,
,,SD09048,Tendalti,Health,HEA,Adult,,24099,12541,,,
,,SD09048,Tendalti,Health,HEA,Children,,34442,14887,,,
,,SD09048,Tendalti,Health,HEA,Elderly,,3135,1535,,,
,,SD09048,Tendalti,Health,HEA,Female,,32610,14771,,,
,,SD09048,Tendalti,Health,HEA,Host Communities,,10057,5878,,,
,,SD09048,Tendalti,Health,HEA,IDP,,10708,6197,,,
,,SD09048,Tendalti,Health,HEA,Male,,29066,14192,,,
,,SD09048,Tendalti,Health,HEA,Non-hosting population,,57552,16888,,,
,,SD09048,Tendalti,Health,HEA,People with disability,,10607,4344,,,
,,SD09048,Tendalti,Health,HEA,total,,78318,28963,,,
,,SD09048,Tendalti,Multi-Purpose Cash,MPC,Adult,,,2850,,,
,,SD09048,Tendalti,Multi-Purpose Cash,MPC,Children,,,3383,,,
,,SD09048,Tendalti,Multi-Purpose Cash,MPC,Elderly,,,349,,,
,,SD09048,Tendalti,Multi-Purpose Cash,MPC,Female,,,3310,,,
,,SD09048,Tendalti,Multi-Purpose Cash,MPC,Host Communities,,,792,,,
,,SD09048,Tendalti,Multi-Purpose Cash,MPC,IDP,,,1113,,,
,,SD09048,Tendalti,Multi-Purpose Cash,MPC,Male,,,3271,,,
,,SD09048,Tendalti,Multi-Purpose Cash,MPC,Non-hosting population,,,4676,,,
,,SD09048,Tendalti,Multi-Purpose Cash,MPC,People with disability,,,987,,,
,,SD09048,Tendalti,Multi-Purpose Cash,MPC,total,,,6581,,,
,,SD09048,Tendalti,Refugee Response,MS,Adult,,1,1,,,
,,SD09048,Tendalti,Refugee Response,MS,Female,,1,1,,,
,,SD09048,Tendalti,Refugee Response,MS,Male,,1,1,,,
,,SD09048,Tendalti,Refugee Response,MS,total,,1,1,,,
,,SD09048,Tendalti,Nutrition,NUT,Adult,,2452,1578,,,
,,SD09048,Tendalti,Nutrition,NUT,Children,,10598,9378,,,
,,SD09048,Tendalti,Nutrition,NUT,Female,,7857,6360,,,
,,SD09048,Tendalti,Nutrition,NUT,Host Communities,,1350,843,,,
,,SD09048,Tendalti,Nutrition,NUT,IDP,,1373,892,,,
,,SD09048,Tendalti,Nutrition,NUT,Male,,5193,4595,,,
,,SD09048,Tendalti,Nutrition,NUT,Non-hosting population,,15016,9215,,,
,,SD09048,Tendalti,Nutrition,NUT,total,,17738,10949,,,
,,SD09048,Tendalti,General Protection,PRO,Adult,,24106,5624,,,
,,SD09048,Tendalti,General Protection,PRO,Children,,23327,5442,,,
,,SD09048,Tendalti,General Protection,PRO,Elderly,,2634,614,,,
,,SD09048,Tendalti,General Protection,PRO,Female,,25190,5878,,,
,,SD09048,Tendalti,General Protection,PRO,Host Communities,,2491,720,,,
,,SD09048,Tendalti,General Protection,PRO,IDP,,8711,3104,,,
,,SD09048,Tendalti,General Protection,PRO,Male,,24877,5804,,,
,,SD09048,Tendalti,General Protection,PRO,Non-hosting population,,31790,7858,,,
,,SD09048,Tendalti,General Protection,PRO,People with disability,,7510,1753,,,
,,SD09048,Tendalti,General Protection,PRO,total,,42992,11682,,,
,,SD09048,Tendalti,Child Protection,PRO-CPN,Adult,,4768,343,,,
,,SD09048,Tendalti,Child Protection,PRO-CPN,Children,,34537,5347,,,
,,SD09048,Tendalti,Child Protection,PRO-CPN,Female,,19775,2903,,,
,,SD09048,Tendalti,Child Protection,PRO-CPN,Host Communities,,3292,1000,,,
,,SD09048,Tendalti,Child Protection,PRO-CPN,IDP,,8231,4170,,,
,,SD09048,Tendalti,Child Protection,PRO-CPN,Male,,19530,2787,,,
,,SD09048,Tendalti,Child Protection,PRO-CPN,Non-hosting population,,22116,520,,,
,,SD09048,Tendalti,Child Protection,PRO-CPN,People with disability,,5896,853,,,
,,SD09048,Tendalti,Child Protection,PRO-CPN,total,,33639,5690,,,
,,SD09048,Tendalti,Gender-Based Violence (GBV),PRO-GBV,Adult,,13182,3005,,,
,,SD09048,Tendalti,Gender-Based Violence (GBV),PRO-GBV,Children,,13182,3005,,,
,,SD09048,Tendalti,Gender-Based Violence (GBV),PRO-GBV,Elderly,,539,121,,,
,,SD09048,Tendalti,Gender-Based Violence (GBV),PRO-GBV,Female,,24213,5518,,,
,,SD09048,Tendalti,Gender-Based Violence (GBV),PRO-GBV,Host Communities,,5417,565,,,
,,SD09048,Tendalti,Gender-Based Violence (GBV),PRO-GBV,IDP,,10324,3888,,,
,,SD09048,Tendalti,Gender-Based Violence (GBV),PRO-GBV,Male,,2690,613,,,
,,SD09048,Tendalti,Gender-Based Violence (GBV),PRO-GBV,Non-hosting population,,17093,1461,,,
,,SD09048,Tendalti,Gender-Based Violence (GBV),PRO-GBV,People with disability,,4036,613,,,
,,SD09048,Tendalti,Gender-Based Violence (GBV),PRO-GBV,total,,32834,5913,,,
,,SD09048,Tendalti,Mine Action,PRO-MIN,Adult,,13648,4509,,,
,,SD09048,Tendalti,Mine Action,PRO-MIN,Children,,18935,5025,,,
,,SD09048,Tendalti,Mine Action,PRO-MIN,Elderly,,1646,586,,,
,,SD09048,Tendalti,Mine Action,PRO-MIN,Female,,18271,5050,,,
,,SD09048,Tendalti,Mine Action,PRO-MIN,Host Communities,,3791,1368,,,
,,SD09048,Tendalti,Mine Action,PRO-MIN,IDP,,10219,2052,,,
,,SD09048,Tendalti,Mine Action,PRO-MIN,Male,,15958,5070,,,
,,SD09048,Tendalti,Mine Action,PRO-MIN,Non-hosting population,,29253,6701,,,
,,SD09048,Tendalti,Mine Action,PRO-MIN,People with disability,,,1515,,,
,,SD09048,Tendalti,Mine Action,PRO-MIN,total,,43263,10121,,,
,,SD09048,Tendalti,Emergency Shelter and Non-Food Items,SHL,Adult,,7769,1476,,,
,,SD09048,Tendalti,Emergency Shelter and Non-Food Items,SHL,Children,,11103,1967,,,
,,SD09048,Tendalti,Emergency Shelter and Non-Food Items,SHL,Elderly,,1011,219,,,
,,SD09048,Tendalti,Emergency Shelter and Non-Food Items,SHL,Female,,10513,1937,,,
